Debra Von#122287#0.6#5
Marty Robel#783007#0.6#4
Clarence Predovic#685688#0.59#3
Carrie Hickle#166906#0.6#9
Sandy Spinka#956370#1.0#4
Corrie Haag#992829#0.58#9
Sadie Gorczany#221396#0.6#9
Jesus Emard#1002448#0.6#3
Edmond Ullrich#353351#0.78#10
Douglas Hansen#227114#0.6#2
Linwood Gleason#348903#0.6#1
Tawnya Bradtke#823275#0.6#3
Lawrence Wisozk#365689#0.55#4
Winford Franecki#291782#0.57#9
Charlotte Kling#879149#0.6#3
Johnsie Considine#158744#0.9#7
Jc Yundt#855195#0.6#8
Deandra Jenkins#11809#0.92#8
Melodie Schmeler#931403#0.6#10
Stefan Nitzsche#321834#0.6#9
Harry Douglas#766697#0.6#1
Pete Schmitt#203246#0.52#9
Leonor Upton#519965#0.6#6
Kimberlie Schultz#362906#0.6#6
Alonso Jacobi#613212#0.6#8
Donny Kautzer#140919#0.77#7
Lauren Olson#540570#0.89#2
Corina O'Conner#338706#0.6#10
Jeffie Erdman#124339#0.6#2
Rickie Grant#976651#0.6#5
Dustin Grimes#366000#0.62#4
Zita Zieme#31473#0.57#10
Stevie Kunze#969522#0.6#10
Rocco White#417340#0.6#6
Antonia Kshlerin#573077#0.88#2
Miles Ledner#764450#0.6#10
Manual Steuber#350843#0.6#1
Norman Lockman#774559#0.6#10
Rolande Waters#452631#0.6#4
Brianne Boyer#290886#0.51#3
Zachary MacGyver#126268#0.6#2
Gwenda Gottlieb#275821#0.6#10
Alec Lubowitz#627668#0.6#6
Courtney Collier#263697#0.6#10
Daron Kub#146582#0.84#3
Jeffery Brakus#826163#0.6#8
Bert Hilll#503543#1.0#7
Daine Graham#542804#0.99#10
Eusebia Green#918577#0.59#3
Bryan Jenkins#536923#0.73#5
Andera Hills#281190#0.6#6
Angle Metz#477993#0.79#10
Shirl Sipes#122602#0.61#4
Vincent Kiehn#621613#0.6#2
Rosella Zemlak#717368#0.6#6
Melany Anderson#368553#0.6#2
Thu Christiansen#71414#1.0#2
Samira Nolan#287496#0.57#10
Ronald Cruickshank#754406#0.55#5
Rodney DuBuque#989531#0.6#10
Terrance McClure#884894#0.6#10
Eldridge Lemke#132287#0.6#7
Oliver Rempel#59294#0.6#3
Pamela Hagenes#470982#0.6#2
Myrna Haag#34964#0.61#3
Stacey West#160420#0.79#10
Robbie Willms#604459#0.54#9
Reva Towne#894941#0.82#10
Lara Zulauf#378664#0.55#2
Donn Kirlin#750160#0.6#9
Courtney Christiansen#839527#0.94#5
Willian Huel#849059#0.56#9
Efren Feeney#814447#0.6#8
Keneth Paucek#884968#0.6#9
Meryl Schulist#97462#0.79#2
Orville Torphy#350971#0.6#7
Janetta Bartoletti#65261#0.88#8
Lucien Williamson#378679#0.6#5
Erasmo Keeling#455239#0.6#10
Jarrod Wisozk#178887#0.6#10
Viviana Wilderman#687860#0.93#8
Shaun Runolfsdottir#109054#1.0#9
Galen Koch#837528#0.67#5
Benjamin Kuphal#747867#0.55#2
Effie Bartoletti#435084#0.6#8
Terresa Mraz#878046#0.6#8
Susie Ledner#173574#0.6#4
Garret Hessel#434356#0.6#3
Tegan Baumbach#338863#0.6#6
Lovie Waters#155734#0.98#2
Telma Hoppe#557683#0.6#1
Elly Jones#241422#0.6#7
Jan Kuhlman#946722#0.6#6
Lawerence Morar#869587#0.6#7
Samuel Jakubowski#740553#0.6#9
Siobhan Zemlak#121493#0.6#3
Princess Abshire#722136#0.6#3
Jefferson Okuneva#568743#0.65#2
Terence Welch#713424#0.6#8
Edmond Carter#231143#0.6#9
Shante Batz#725717#0.6#5
Jamar Klocko#736878#0.6#9
Nelson Green#414163#0.83#2
Carter Bartoletti#122645#0.6#7
Marinda Friesen#924753#0.6#4
Dean Stamm#25462#0.6#5
Mitch Goldner#661309#0.5#4
Breanna Lockman#9654#0.6#4
Fletcher Baumbach#255775#0.6#3
Craig Jakubowski#525567#0.55#5
Joi McDermott#739662#0.6#5
Salvador Armstrong#49911#0.6#3
Leo Collier#389725#0.84#5
Ward Cassin#450587#0.62#9
Aracelis Feil#752812#0.72#8
Leroy Grady#227408#0.53#7
Jeanetta Okuneva#850913#0.7#8
Tom Braun#339331#0.65#5
Art Rice#11086#0.84#6
Berta Legros#191876#0.6#5
Quyen Hills#126591#0.6#6
Lashawna Bernhard#949936#0.6#1
Henry Predovic#627764#0.58#3
Jared Parisian#16987#0.6#7
Digna McLaughlin#908929#0.51#8
Georgianna Jacobson#756167#0.6#4
Rod Lang#895204#0.6#2
Shila Larkin#603442#0.88#2
Wesley Heaney#949026#0.6#10
Cristobal Parisian#501173#0.6#3
Sindy Metz#352080#0.6#2
Janene Kub#602691#0.86#1
Collette Larson#814756#0.99#8
Byron Kreiger#747241#0.57#5
Claudine Langworth#132611#0.6#2
Tommie Becker#635700#0.54#6
Keneth Wolff#350692#0.93#7
Sharilyn Kuphal#186891#0.77#6
Erika Wyman#811044#0.9#10
Leanna Howe#983838#0.6#7
Hanh Casper#886690#0.6#2
Francis Lehner#569728#0.62#2
Marcell Zulauf#575392#0.51#8
Lawanda Krajcik#231034#0.77#2
Millard Metz#358112#0.6#3
Ivory Price#135360#0.6#8
Sammy Renner#942291#0.6#3
Keva Nader#824115#0.77#10
Johnie Collier#939108#0.75#7
Caprice Brown#125658#0.6#5
Dale Waters#71766#0.6#1
Coral Gusikowski#618282#0.72#8
Lewis Kerluke#583126#0.6#10
Susanne Okuneva#245399#0.6#7
Leopoldo Frami#971735#0.6#10
Lanelle Ritchie#1004549#0.6#5
Luigi Doyle#872251#0.73#5
Rodolfo Nikolaus#330464#0.89#7
Darwin Jerde#865338#0.6#6
Modesto Legros#633549#0.88#8
Vern Rosenbaum#737539#0.52#7
Roderick Bogan#214183#0.6#9
Phyliss Shanahan#801019#0.78#5
Leopoldo Jacobs#404073#0.6#8
Aileen Hegmann#192769#0.69#2
Timothy Stark#117995#0.77#3
Ken Heaney#240077#0.59#6
Claude Schultz#764375#0.53#5
Minda Thompson#68854#0.6#8
Modesto Gislason#360467#0.6#2
Maude Haag#86686#0.6#8
Elza Pouros#359393#0.83#10
Sanford Mann#518176#0.51#8
Winfred Huel#822981#0.51#5
Rickey Wiza#111845#0.53#10
Nick Conn#168253#0.78#8
Grady Raynor#528516#0.6#6
Retta Leannon#240552#0.83#10
Emil Bins#349117#0.95#8
Marg Aufderhar#924787#0.6#1
Cammy Parker#924003#0.65#7
Dominque Kiehn#827449#0.6#2
Matthew Wiza#143303#0.97#2
Odell Waelchi#351078#0.6#5
Kattie Langosh#992891#0.6#10
Sonny Wiegand#90492#0.68#2
Freeman Morissette#653372#0.69#6
Tyrone Collins#502662#0.6#6
Osvaldo White#454352#0.64#10
Grady Price#534378#0.68#8
Shirley McCullough#741218#0.6#2
Benton Douglas#906930#0.6#7
Wilfred Mann#522245#0.63#7
Daryl Gaylord#695384#0.6#5
Marvella Johns#14438#0.6#4
Rafaela Pfeffer#647157#0.6#3
Brittaney Keeling#234739#0.82#9
Suanne White#939829#0.58#2
Glady Abshire#983701#0.6#8
Elida Murazik#717656#0.6#1
Lee Cruickshank#464257#0.97#3
Melvin Lehner#385244#0.89#10
Skye Hilll#695981#0.6#9
Marylee Lebsack#855752#0.52#6
Kip DuBuque#400499#0.6#9
Hilton Fadel#314104#0.72#3
Kristeen Hoeger#119611#0.6#4
Sha Trantow#289028#0.99#6
Carmon Hudson#186182#0.6#3
Sammie McClure#486845#0.7#6
Delinda Lemke#994543#0.89#10
Ellamae Gutmann#957808#0.94#10
Lawrence Ullrich#484712#0.6#3
Martha Mills#772968#0.6#6
Alesha Denesik#783341#0.87#3
Joye Kirlin#459861#0.6#8
Kathlene Beatty#353505#0.89#7
Vince Carter#722020#0.88#6
Nan Walsh#930251#0.6#9
Valentina Schaden#284149#0.6#8
Miguel Quitzon#996513#0.6#6
James Gerhold#821708#0.6#2
Joaquin Macejkovic#475447#0.6#5
Earnest Hermann#561241#0.9#10
Harris Windler#963030#0.92#8
Faustino Cole#735332#0.6#6
Daniel Murphy#500424#0.58#6
Milan Simonis#158239#0.92#1
Hiroko Barton#663821#0.6#9
Nicol Schuster#287863#0.64#9
Chelsey Rolfson#173015#0.6#4
Neal Larkin#225136#0.6#2
Nery Gutkowski#784607#0.91#2
Valery Bartoletti#157627#0.88#6
Marchelle Cormier#794093#0.96#8
Georgianna Conroy#387215#0.91#9
Colby Kertzmann#213921#0.97#9
Alfonzo Rodriguez#422655#0.6#2
Ricardo Grant#153447#0.66#3
Columbus Mann#444940#0.6#8
Freddie Wunsch#468217#0.6#9
Glenn Jones#366879#0.6#6
Vernon Walter#313283#0.6#10
Florencio Lemke#349971#0.57#2
Terry Hodkiewicz#621010#0.57#5
Billie Pacocha#346704#0.87#4
Phillip Sauer#241263#0.8#10
Jacques Reichert#175113#0.6#7
Elmira Moen#331984#0.83#6
Noel Walsh#393867#0.95#4
Peggy Blick#301023#0.6#4
Pierre Carter#979685#0.56#5
Felton Grady#461738#0.6#9
Keitha Jakubowski#442356#1.0#6
Clinton Lueilwitz#719788#0.6#3
Matthew Jacobs#722849#0.83#10
Myesha Hettinger#761659#0.69#10
Renda Hirthe#237618#0.74#9
Lakia Purdy#736384#0.67#6
Sidney O'Conner#419628#0.6#8
August West#387917#0.6#1
Valery Hagenes#752940#0.6#9
Dagmar Gutmann#88050#0.72#3
Sandee Gleichner#431826#0.6#9
Johnny Considine#223450#0.6#7
Jaimie Collins#204151#0.99#6
Trey Franecki#923453#0.6#10
Julianna Bogan#393792#0.6#1
Magdalen Frami#750001#0.6#9
Luanne Tillman#938568#0.51#7
Marvel Emmerich#687932#0.6#4
Ginger Connelly#686381#0.76#9
Tambra Bernier#119593#0.58#4
Otilia Weissnat#761976#0.57#6
Larae Cruickshank#274023#0.92#2
Phoebe Lebsack#377819#0.62#1
Valentina Quigley#85610#0.52#8
Hwa Hills#858553#0.6#4
Vada Hettinger#977628#0.91#10
Ignacio Bins#74022#0.86#3
Jaquelyn Schowalter#99862#0.6#9
Hyman Schmitt#818924#0.84#10
Chelsea Heaney#962841#0.6#2
Evan Stracke#480899#0.6#5
Shantay Kuphal#524260#0.6#1
Maren Schaden#402322#0.6#10
Stan Padberg#884647#0.59#10
Willene Kilback#635037#0.98#5
Toney Kohler#982236#0.6#8
Jarod Emard#267238#0.6#1
Renee Auer#619639#0.59#1
Nicol Sawayn#555761#0.6#2
Rogelio Volkman#152660#0.6#2
Leonel Langosh#773680#0.6#1
Graham Lind#235106#1.0#5
Terri Kemmer#499993#0.8#1
Jack Kulas#132249#0.6#1
Frida Hackett#117547#0.7#2
Miles Cormier#113768#0.95#7
Angelo Bradtke#441577#0.59#9
Earle Simonis#34312#0.98#3
Vincenzo Jacobi#47539#0.6#5
Garth Collins#725768#0.83#4
Robby Sporer#869271#0.6#8
Angelina Ruecker#1003077#0.6#1
Jarvis Zieme#547156#0.6#1
Dominick Quigley#785096#0.89#1
Mac Wolf#413530#0.6#9
Oretha Marvin#882853#0.6#4
Jaclyn Hoeger#463758#0.6#1
Kirby Keebler#281271#0.6#4
Refugia Walter#223333#0.6#2
Tawanda Wehner#547208#0.95#7
Sherryl Streich#724289#0.89#6
Sandra Larkin#178943#0.94#7
Nobuko Bernhard#863011#0.6#6
Theo Emmerich#350456#0.6#1
Tashina Howe#599477#0.54#6
Dewayne Strosin#921205#0.69#1
Charmaine Koepp#868239#0.6#10
Sabina Graham#375576#0.97#5
Tyrell Hauck#337244#0.6#6
Collette Dietrich#453176#0.6#7
Elvin Steuber#963848#0.6#5
Porter Connelly#510809#0.54#7
Johnnie Maggio#269326#1.0#7
Lonny Johnston#450178#0.6#8
Mauro Ebert#418020#0.6#10
Rudy Bradtke#861346#0.6#4
Jude Wintheiser#356093#0.68#8
Anthony Schultz#142182#0.6#9
Maximo Morissette#592650#0.87#7
Josue Smith#390554#0.6#8
Domenic Beer#742187#0.6#9
Sung Terry#378750#0.86#4
Dena Daniel#593814#0.6#9
Serina Grimes#863044#0.6#2
Leandra Hintz#684424#0.6#9
Thanh Kuvalis#885304#0.71#1
Gino Kovacek#65327#0.6#10
Cordell Bogan#333800#0.6#4
Kisha Keebler#633655#0.6#8
Julio Waters#484054#0.76#10
Israel Dare#779234#0.87#6
Steffanie Hermann#375549#0.67#4
Victor Ullrich#19762#0.81#1
Oswaldo Hermann#56394#0.82#10
Viki McCullough#327007#0.6#10
Ilana Frami#571168#0.6#10
Alexis Boyle#635113#0.6#7
Boyd Krajcik#326207#0.6#6
Thao Lueilwitz#112307#0.6#10
Hettie Monahan#207488#0.6#3
Carlene Koelpin#433677#0.97#5
Gonzalo Satterfield#966545#0.6#6
Precious Zieme#89049#0.85#3
Denver Tromp#608041#0.52#1
Senaida Welch#73366#0.6#10
Fredrick Strosin#850033#0.67#5
Florentino Hackett#516316#0.6#1
August Murphy#729852#0.56#7
Lewis Towne#906238#0.68#1
Jefferey Pollich#453593#0.75#3
Saturnina Bailey#44512#0.69#9
Thad Labadie#946078#0.6#2
Sharlene Gulgowski#159002#0.89#8
Stevie Zulauf#921376#0.7#3
Sammie Hudson#975273#0.6#5
Phillip Marks#843215#0.6#3
Iraida Hoppe#304349#0.6#7
Eloy Zulauf#219900#0.54#5
Shyla Volkman#712421#0.96#2
Jody Schultz#207735#0.58#2
Frederic Crooks#677177#0.74#4
Tomas D'Amore#273270#0.55#8
Annalisa Wisoky#544273#0.94#7
Ralph Nikolaus#569708#0.69#9
Alona Kreiger#79609#0.62#5
Loren Wolff#233983#0.6#9
Pamula Marquardt#661332#0.81#7
Lavern Mohr#945429#0.6#4
Levi Wisoky#801283#0.78#7
Hilario Hoeger#869417#0.99#7
Clarissa Bins#50813#0.51#3
Lemuel Littel#90952#0.53#7
Chiquita Herman#278782#0.77#8
Armando Carroll#871928#0.6#2
Billy Hilll#844181#0.64#9
Emil Funk#285160#0.6#3
Jonah Heidenreich#667944#0.55#4
Lindsay Waters#130947#0.6#9
Vi Rippin#190239#0.82#3
Rudy Kris#624422#0.74#6
Rossana Spinka#308516#0.56#3
Rodger Becker#241130#0.94#6
Kelvin Schaefer#539051#0.88#8
Rudolf Dooley#78819#0.6#6
Santo Rowe#341066#0.6#3
Carlo Schowalter#817134#0.9#2
Herman Gusikowski#746792#0.6#5
Desiree Block#258290#0.72#2
Rick Schuppe#275913#0.6#4
Jasper Bechtelar#301734#0.6#6
Angla Cummerata#934484#0.59#2
Nella Rolfson#420069#0.6#1
Dreama Ferry#813158#0.56#8
Arden Feeney#601716#0.6#9
Versie Morar#981298#0.66#4
Barney Larkin#748538#0.6#4
Wilfredo Hoeger#637613#0.97#8
Mauricio Rowe#980274#0.56#2
Alisia Stamm#723128#0.6#2
Blake Anderson#215594#0.59#5
Celine Fisher#743915#0.87#1
Janella Wisoky#543712#0.6#1
Von Harvey#817369#0.6#10
Toya Jones#322212#0.6#6
Letisha Will#332502#0.6#5
Rosemary Hermiston#455350#0.6#8
Hollis O'Reilly#173960#0.58#7
Michelle Stiedemann#996700#0.6#4
Angelo Mann#719041#0.5#9
Frances Franecki#715101#0.65#10
Zella Jast#330063#0.6#1
Talia Nader#726956#0.6#6
Jack Hudson#546731#0.6#1
Arlean VonRueden#186783#0.6#6
Ona Feeney#41038#0.77#6
Alyce Hayes#305630#0.6#6
Williams Kutch#926564#0.6#2
Lorean Kunze#217424#0.84#10
Norris Koch#194237#0.6#3
Margareta Hodkiewicz#119496#0.6#9
Jerrell Effertz#764652#0.6#9
Efrain Smitham#57539#0.97#4
Jaclyn Daniel#335657#0.6#7
Orlando McCullough#796654#0.6#5
Charmain Okuneva#293407#0.6#10
Cortney Satterfield#695405#0.6#1
Marion Runte#184442#0.91#2
Clarence Hauck#894568#0.6#10
Jefferey Schaden#795406#0.6#4
Waylon Lind#201817#0.6#5
Cassie Leuschke#438993#0.88#3
Solomon Turner#653886#0.92#6
Shauna Sauer#301711#0.78#8
Russ Beahan#237852#0.78#1
Tiara Fahey#533999#0.6#4
Shela Bode#220775#0.6#6
Nyla Hilpert#32258#0.6#8
Alan Franecki#703055#0.6#4
Dirk Abbott#263771#0.53#7
Vern Sanford#45947#0.6#4
Dallas Rice#912444#0.54#7
Evon Haley#244626#0.92#4
Ming Rice#957970#0.6#9
Darron Nolan#871189#1.0#3
Terrance Block#300432#0.6#10
Winona Smith#362191#0.92#5
Bobbie Welch#186160#0.6#1
Kieth Mitchell#112022#0.67#5
Eusebia Fadel#263070#0.6#4
Rich Jerde#433152#0.6#5
Raul Schaefer#423071#0.6#6
Werner Schultz#914031#0.6#3
Lloyd Volkman#279071#0.55#5
Adrianne Hayes#159388#0.99#5
Andra Thompson#263080#0.6#5
Francesco Anderson#404501#0.6#5
Garret Franecki#76566#0.6#3
Teresa Crist#658950#0.6#4
Latoya Goodwin#307130#0.6#6
Martha Powlowski#962556#0.6#5
Wilma Nader#644081#0.5#1
Genevie Conroy#861513#0.6#8
Laverne Bayer#825277#0.96#9
Vada Smith#800333#0.76#4
Kirk Kuphal#20822#0.54#6
Kaley Robel#631888#0.69#5
Jolene Kirlin#431522#0.9#7
Bambi Hahn#973308#0.6#4
Roseanna Hermiston#771001#0.6#5
Seymour Beier#463034#0.6#9
Alfonzo Olson#892969#0.82#8
Mickey Streich#636358#0.6#4
Abel Adams#590498#0.6#2
Stephan Murazik#923312#0.74#2
Duane Becker#572072#0.6#4
Ricky Lind#28200#0.6#3
Trinidad Leffler#60667#0.6#3
Blake Blanda#789585#0.75#10
Stefany Leannon#998574#0.59#4
Joseph Morar#223318#0.6#4
Johnathan Rosenbaum#447619#0.95#5
Jacquiline Hessel#878971#0.61#5
Asa Schuster#457262#0.6#7
Leslie Toy#138422#0.6#8
Darren Denesik#705342#0.68#2
Vern Konopelski#641302#0.6#2
Vince Stanton#919968#0.6#6
Hwa Reynolds#948906#0.76#2
Vickie Parker#552751#0.67#10
Marilyn Jacobs#178595#0.6#7
Bradley Roob#947116#0.6#2
Morton Russel#866943#0.98#7
Marlin Leffler#999087#0.6#1
Felipe Wisozk#307136#0.71#9
Elvia Torphy#527906#0.74#10
Jessika Abbott#892127#0.6#8
Lavonne Lebsack#845315#0.6#4
Inger Howell#815238#1.0#7
Molly Connelly#51979#0.95#6
Deangelo Powlowski#481451#0.92#4
Mabelle Dach#113556#0.6#7
Jody Padberg#141714#0.6#7
Agustin Cummerata#432711#0.6#4
Jeffrey Larson#239389#0.6#8
Hung Hartmann#689635#0.68#9
Erin O'Connell#205966#0.6#8
Frances Rowe#697472#0.91#10
Robbyn Trantow#420822#0.75#4
Lavon Collins#609016#0.81#1
Jerold Mayert#162888#0.93#4
Josiah Stehr#378003#0.57#9
Jeanetta Nolan#817204#0.78#10
Devorah Towne#792556#0.6#1
Lasonya Leffler#990186#0.83#9
Tilda Mayert#670226#0.51#10
Lazaro Stehr#85787#0.67#3
Priscilla Cruickshank#830285#0.65#7
Deirdre Walker#301009#0.6#2
Ken Muller#373203#0.6#6
Refugio Weber#736983#0.68#5
Reuben Schimmel#818975#0.6#10
Alda Sipes#822903#0.92#3
Alvaro Wintheiser#988558#1.0#9
Nathan Hudson#348218#0.6#6
Orville Upton#748401#0.6#10
Erika Hane#10010#0.6#10
Yong Denesik#381741#0.59#8
Glen Klocko#484376#0.76#6
Flossie Ebert#483408#0.51#4
Jordon Bosco#127417#0.65#2
Otelia Powlowski#33086#0.6#2
Holli Fisher#713530#0.83#6
Brain Corwin#751240#0.6#6
Marquis Ondricka#435795#0.6#9
Junior Romaguera#988326#0.6#2
Tessa Botsford#778731#0.6#9
Burt Jacobson#478685#0.6#8
Dianna O'Keefe#335432#0.86#6
Ellamae Johnson#144346#0.68#6
Benjamin Schiller#766957#0.6#4
Joette McLaughlin#359907#0.6#6
Refugia Flatley#228972#0.6#6
Merle Hayes#856354#0.82#8
Everette Frami#177692#0.82#6
Kali Windler#217166#0.75#8
Earline Rice#612305#0.6#7
Larry Hermann#47791#0.6#8
Dusty Schimmel#387005#0.84#5
Abraham Douglas#852627#0.81#10
Irwin Sawayn#386870#0.6#1
Todd Pacocha#955468#0.97#9
Azzie Farrell#707599#0.55#7
Gail Moore#5347#0.6#4
Claudio Sanford#441106#0.6#4
Roselyn O'Connell#401120#0.73#4
Christopher Klocko#218189#0.86#2
Quinn Legros#313988#0.72#7
Darin Boyer#213845#0.8#1
Diego Kertzmann#489464#0.6#8
Candelaria Schimmel#762275#0.6#3
Chieko Schowalter#949497#0.6#9
Chae Keeling#721421#0.99#4
Jonathan Hyatt#974723#0.6#9
Seth Jacobson#60182#0.6#1
Dan Russel#694765#0.6#4
Tess Stamm#599254#0.9#6
Myesha Sanford#186203#0.6#6
Rodger Trantow#130951#0.72#5
Mckinley O'Kon#597969#0.6#6
Allene Wisoky#227266#0.79#1
Sharda Grady#473067#0.75#1
Tristan Glover#151800#0.85#9
Maynard Herzog#66213#0.67#9
Erasmo Breitenberg#329069#0.6#4
Dudley Lowe#123875#0.54#8
Danelle Fisher#290486#0.74#7
Humberto Moen#65092#0.6#5
Johanne Lockman#363256#0.98#3
Macy Bergnaum#783201#0.63#10
Debi Sanford#805787#0.66#10
Vance Macejkovic#382549#0.52#9
Jenise Dach#69953#0.6#6
Grady Zboncak#561906#0.69#10
Stefan Satterfield#27718#0.6#5
Fletcher Williamson#152057#0.6#2
Cristy Rath#159103#0.64#10
Kizzie Boyle#496105#0.6#5
Loretta Fay#484158#0.6#7
Owen Bashirian#726536#0.6#8
Syble Quitzon#993725#0.73#8
Reina Kovacek#319997#0.6#9
Ingeborg Wehner#44669#0.6#1
Reed Haag#781958#0.6#1
Raina Conn#349765#0.6#1
Loura Jerde#887445#0.6#2
Dee Smitham#193877#0.6#7
Tessa Hamill#205421#0.6#5
Ardella Cronin#745495#0.6#4
Stuart Gleason#105225#0.95#8
Libbie Spinka#442537#0.9#7
Suzy Kihn#899176#0.96#2
Bret Will#202063#0.82#2
Lurline Luettgen#166348#0.82#7
Alonzo Cole#28966#0.9#9
Avery Doyle#388130#0.6#6
Doyle Ankunding#600340#0.6#6
Versie Wyman#824838#0.92#9
Weston Wiegand#879758#0.61#8
Brandy Armstrong#847528#0.78#6
Guadalupe Sawayn#468258#0.6#5
Adelaide Fadel#704149#0.6#3
Clark Jerde#787660#0.78#2
Celia Blanda#429502#0.69#6
Lynette Langosh#201263#0.6#3
Darrel Rippin#341314#0.6#2
Berta Greenfelder#755154#0.71#10
Jutta Greenholt#137142#0.71#3
Sol Swaniawski#473119#0.74#4
Vesta Mosciski#139622#0.6#4
Wanda Stark#852002#0.89#7
Nerissa Champlin#813476#0.85#9
Dane Cremin#225256#0.53#4
Zack Murazik#326453#0.97#2
Tatiana Marquardt#979037#0.9#4
Tyrell Bednar#436732#0.8#6
Jordon Harris#873187#0.96#9
Tyree Kuvalis#723036#0.6#6
Taylor Nikolaus#932354#0.6#3
Salvador Howe#964537#0.64#7
Gregory Leffler#684660#0.93#8
Shery Weissnat#852724#0.6#6
Arlinda Luettgen#763355#0.6#5
Horace Treutel#586014#0.6#8
Desiree Medhurst#65447#0.96#3
Darcel Rosenbaum#8429#0.65#6
Ardell Nitzsche#850530#0.81#6
Cesar Bauch#825336#0.6#1
Mireille Jacobs#337600#0.6#9
Carmen Erdman#122758#0.6#5
Jim Lemke#386325#0.87#2
Curtis Stehr#412192#0.76#9
Leo Marvin#567341#0.79#4
Emilia Parker#31839#0.6#9
Ricki Kunde#262850#0.6#3
Rosendo Gerhold#878318#0.64#4
Geraldo Beer#854136#0.6#1
Darcel Wisoky#281868#0.99#2
Efren Kuphal#67725#0.51#9
Gidget Yundt#155029#0.6#6
Clair Schoen#941025#0.6#6
Tyler Lind#422780#0.6#10
Jodie Cormier#108164#0.6#8
Wallace Goyette#1000283#0.6#6
Karena Schinner#963871#0.6#9
Roman Ullrich#583621#0.59#6
Benny Ernser#927870#0.6#9
Hien Lakin#356693#0.91#7
Erin Fahey#991995#0.53#2
Shani Hirthe#487082#0.8#8
Norberto Lockman#605965#0.5#9
Jose Schmeler#981231#0.6#1
Chu Ondricka#796102#0.6#4
Andrea Kerluke#284969#0.55#2
Matthew Muller#496504#0.6#4
Hugo Veum#155650#0.56#1
Galina Swaniawski#35711#0.6#2
Yuette Gleichner#171285#0.81#10
Clemente Welch#825964#0.78#4
Jessica Runolfsdottir#512434#0.6#9
Elliot Hoeger#15200#0.51#8
Tory Kreiger#535134#0.6#7
Evia McGlynn#387237#0.51#4
Marilu Kuphal#38088#0.6#10
Archie Prohaska#995533#0.62#7
Valda Sauer#972085#0.96#5
Gearldine Simonis#203079#0.62#10
Norbert Treutel#953594#0.64#1
Erica Leuschke#151780#0.6#3
Ivey Romaguera#191376#0.52#8
Imelda Koss#558819#0.67#7
Mohammad Glover#245868#0.55#8
Wesley Collier#971301#0.6#10
Marx Bogan#288920#0.6#7
Maragaret Torp#880546#0.71#8
Darron Hane#225053#0.6#7
Luisa Cruickshank#734285#0.5#8
Josh Dooley#944971#0.71#6
Camelia Bosco#46462#0.92#10
Charlie Champlin#216794#0.6#10
Simonne Runte#700083#0.63#4
Collin Lakin#433590#0.6#6
Lucas Borer#428916#0.6#7
Noble Kihn#738432#0.6#1
Alva Kerluke#435998#0.6#6
Celesta Lehner#372189#0.56#3
Miquel Spinka#164587#0.6#8
Claudia Wisoky#640930#0.6#1
Dwayne Hessel#19120#0.6#4
Tanja Satterfield#507872#0.6#9
Izetta Hayes#309987#0.61#3
Wilton Willms#377670#0.6#10
Meaghan Goldner#469062#0.79#5
Hanh Yost#537735#0.6#5
Columbus Macejkovic#956769#0.6#2
Damian Hettinger#956037#0.6#9
Andrea Lind#35696#0.84#6
Oretha Quigley#638429#0.6#2
Harley Torphy#432265#0.89#2
Ludie Kemmer#172357#0.82#10
Emilio Hansen#879979#0.8#7
Tomika Smith#572064#0.59#10
Kemberly Yundt#99357#0.6#10
Lisette Becker#375635#0.6#8
Kathrine Satterfield#209669#0.6#3
Ethan Lind#617868#0.98#3
Rickey Sipes#278310#0.91#1
Hermina Lakin#466372#0.99#7
Zachariah Rutherford#230115#0.89#4
Corinne Reynolds#219207#0.95#9
Morton Towne#552107#0.65#9
Mandi Kutch#844996#0.86#7
Earlene Bradtke#961593#0.84#7
Antwan Durgan#841620#0.6#4
Salvador Kuhn#374421#0.51#3
Amos Hilll#77193#0.6#1
Gudrun Gusikowski#380139#0.6#9
Jackie Feeney#708127#0.86#2
Shayla Kling#992378#0.6#8
Mabel Kreiger#653371#0.6#4
Marianna Johnson#732861#0.8#3
Susanne Jenkins#552399#0.72#7
Lillian Spencer#319320#0.82#7
Alease Hammes#164939#0.6#1
Stephan Weber#738877#0.86#10
Marcelina Purdy#438403#0.6#3
Althea Berge#468819#0.6#9
Roxane Jaskolski#795006#0.81#1
Rolland Zemlak#644020#0.57#2
Shawna Bins#807309#0.98#10
Lore Rath#191121#0.77#10
Brent Kiehn#285019#0.73#6
Berneice McGlynn#384949#0.69#10
Odelia Stracke#889897#0.6#4
Jacquelyne Swift#766173#0.6#5
Kecia Blick#567024#0.83#4
Lizette Pacocha#23374#0.82#10
Shaun Weissnat#267232#0.6#6
Cruz Watsica#910587#0.6#2
Jeanett Johnson#384454#0.6#8
Nathan Huels#923647#0.6#1
Wilton Predovic#866336#0.6#6
Rickie Torp#684697#0.59#1
Amalia Kuhn#318981#0.81#8
Arlena Greenholt#110237#0.6#3
Lorie Johnson#873967#0.6#2
Beth Sanford#53762#0.84#5
Bridget Russel#319275#0.51#1
Jacalyn Rice#801859#0.93#4
Artie Herman#664119#0.88#5
Darius Ortiz#805904#0.83#3
Bernie Christiansen#726948#0.86#5
Bryon Gerlach#175659#0.6#8
Pia Nader#727638#0.85#10
Clarissa Gutmann#678343#0.86#5
Matthew Abshire#819069#0.6#6
